variablename,producttype,dataset,profile,category,_order,relation,unittype
Pop1,Decennial,"2000, 2010",Census,POPULATION DENSITY,1,Pop1,basic
PopPerAcre,Decennial,"2000, 2010",Census,POPULATION DENSITY,2,ratio,ratio
Pop2,Decennial,"2000, 2010",Census,SEX AND AGE,3,Pop2,basic
Male,Decennial,"2000, 2010",Census,SEX AND AGE,4,Pop2,basic
Fem,Decennial,"2000, 2010",Census,SEX AND AGE,5,Pop2,basic
PopU5,Decennial,"2000, 2010",Census,SEX AND AGE,6,Pop2,basic
Pop5t9,Decennial,"2000, 2010",Census,SEX AND AGE,7,Pop2,basic
Pop10t14,Decennial,"2000, 2010",Census,SEX AND AGE,8,Pop2,basic
Pop15t19,Decennial,"2000, 2010",Census,SEX AND AGE,9,Pop2,basic
Pop20t24,Decennial,"2000, 2010",Census,SEX AND AGE,10,Pop2,basic
Pop25t29,Decennial,"2000, 2010",Census,SEX AND AGE,11,Pop2,basic
Pop30t34,Decennial,"2000, 2010",Census,SEX AND AGE,12,Pop2,basic
Pop35t39,Decennial,"2000, 2010",Census,SEX AND AGE,13,Pop2,basic
Pop40t44,Decennial,"2000, 2010",Census,SEX AND AGE,14,Pop2,basic
Pop45t49,Decennial,"2000, 2010",Census,SEX AND AGE,15,Pop2,basic
Pop50t54,Decennial,"2000, 2010",Census,SEX AND AGE,16,Pop2,basic
Pop55t59,Decennial,"2000, 2010",Census,SEX AND AGE,17,Pop2,basic
Pop60t64,Decennial,"2000, 2010",Census,SEX AND AGE,18,Pop2,basic
Pop65t69,Decennial,"2000, 2010",Census,SEX AND AGE,19,Pop2,basic
Pop70t74,Decennial,"2000, 2010",Census,SEX AND AGE,20,Pop2,basic
Pop75t79,Decennial,"2000, 2010",Census,SEX AND AGE,21,Pop2,basic
Pop80t84,Decennial,"2000, 2010",Census,SEX AND AGE,22,Pop2,basic
Pop85pl,Decennial,"2000, 2010",Census,SEX AND AGE,23,Pop2,basic
MdAge,Decennial,"2000, 2010",Census,SEX AND AGE,24,median,median
PopU18_1,Decennial,"2000, 2010",Census,SEX AND AGE,25,Pop2,basic
Pop21pl,Decennial,"2000, 2010",Census,SEX AND AGE,26,Pop2,basic
Pop62pl,Decennial,"2000, 2010",Census,SEX AND AGE,27,Pop2,basic
Pop65pl_1,Decennial,"2000, 2010",Census,SEX AND AGE,28,Pop2,basic
Pop65plM,Decennial,"2000, 2010",Census,SEX AND AGE,29,Pop2,basic
Pop65plF,Decennial,"2000, 2010",Census,SEX AND AGE,30,Pop2,basic
